TITLE="Layer_3"
VARIABLES="Time [s]"
"Flow Rate IN [m^3/s]"
"Flow Rate OUT [m^3/s]"
"Net Flow Rate [m^3/s]"
"Net Cumulated Volume [m^3]"
ZONE T="Flow Budget Zone#3"
 0.3000000000000000E+03  0.0000000000000000E+00  0.8850848519562993E-04 -0.8850848519562993E-04 -0.1327627277934449E-01
 0.6000000000000000E+03  0.1697666935827631E-05  0.5097561499484949E-04 -0.4927794805902186E-04 -0.3394423776754225E-01
 0.9000000000000000E+03  0.0000000000000000E+00  0.3455045739253275E-04 -0.3455045739253275E-04 -0.4651849858527544E-01
 0.1200000000000000E+04  0.6075031242675519E-06  0.2483360904021644E-04 -0.2422610591594888E-04 -0.5533498308154769E-01
 0.1500000000000000E+04  0.0000000000000000E+00  0.1799151477308361E-04 -0.1799151477308361E-04 -0.6166762618490256E-01
 0.1800000000000000E+04  0.0000000000000000E+00  0.1246790687281445E-04 -0.1246790687281445E-04 -0.6623653943178727E-01
 0.2100000000000000E+04  0.0000000000000000E+00  0.8691705997106847E-05 -0.8691705997106847E-05 -0.6941048136227547E-01
 0.2400000000000000E+04  0.0000000000000000E+00  0.5401650990625838E-05 -0.5401650990625838E-05 -0.7152448491043537E-01
 0.2700000000000000E+04  0.0000000000000000E+00  0.3166651494400586E-05 -0.3166651494400586E-05 -0.7280973028318932E-01
 0.3000000000000000E+04  0.6504985848248906E-07  0.1297796191260380E-05 -0.1232746332777891E-05 -0.7346963995726609E-01
 0.3300000000000000E+04  0.0000000000000000E+00  0.2922118452376986E-06 -0.2922118452376986E-06 -0.7369838368396843E-01
 0.3600000000000000E+04  0.7055275208414224E-06  0.0000000000000000E+00  0.7055275208414224E-06 -0.7363638633262787E-01
 0.3900000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.4200000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.4500000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.4800000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.5100000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.5400000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.5700000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.6000000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.6300000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.6600000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.6900000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.7200000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.7500000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.7800000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.8100000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.8400000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.8700000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.9000000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.9300000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.9600000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.9900000000000000E+04  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1020000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1050000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1080000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1110000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1140000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1170000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1200000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1230000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1260000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1290000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1320000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1350000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1380000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1410000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1440000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1470000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1500000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1530000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1560000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1590000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1620000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1650000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1680000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1710000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1740000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1770000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1800000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1830000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1860000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1890000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1920000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1950000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.1980000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.2010000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.2040000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.2070000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.2100000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.2130000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.2160000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
 0.2190000000000000E+05  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00 -0.7353055720450165E-01
